kfold_id,emb_dim,batch_size,num_hidden,num_dense,dropout,epoch,cosine_proximity_mean,loss_mean,time_passed_mean,val_cosine_proximity_mean,val_loss_mean,cosine_proximity_std,loss_std,time_passed_std,val_cosine_proximity_std,val_loss_std,best_val_loss_mean,best_val_cosine_proximity_mean
10291,50,32,3,100,0.3,0,0.012621365547029412,2.779693599165114,0.5589224338531494,0.14340976538235511,2.3601218254962233,0.03747703831184005,0.0183600419638488,0.03329772289129406,0.16188554144315473,0.012031369836676825,False,False
10291,50,32,3,100,0.3,1,0.03152049748323822,2.182009955629302,0.05833039283752441,0.10070574303999072,1.9219770307949215,0.011868593957041177,0.01835399000522199,0.0013092887180590528,0.15255949587462564,0.024782802971146968,False,False
10291,50,32,3,100,0.3,2,0.055180087730632085,1.767053020164041,0.05678057670593262,0.13638929729124719,1.5686816897814846,0.027614901793324428,0.030891970438163573,0.000849771762521635,0.04769778580516123,0.034774133508079105,False,False
10291,50,32,3,100,0.3,3,0.0709900066775349,1.440924855371451,0.0569211483001709,0.21870056629389026,1.2861854735300704,0.0427122329211025,0.03663091421465527,0.0013379004308220678,0.03204830794130622,0.04115806817343494,False,False
10291,50,32,3,100,0.3,4,0.061254107725883376,1.1844533999945583,0.05723114013671875,0.23113312943893538,1.062755759787192,0.017800843999558454,0.03816787344189416,0.0013962750193541296,0.05356036799575484,0.0434073115097172,False,False
10291,50,32,3,100,0.3,5,0.12604323830905956,0.9795190157663081,0.056893110275268555,0.23834670041762146,0.885454518339623,0.02566015835595973,0.04099250938596537,0.0008621457631118956,0.07194124849504076,0.043525159859104656,False,False
10291,50,32,3,100,0.3,6,0.11914347093774517,0.8173487358596656,0.05662803649902344,0.2291528711731313,0.7439041668302419,0.03507936029400578,0.040886877444936034,0.0005008425161793598,0.025540626400557122,0.043075938958698996,False,False
10291,50,32,3,100,0.3,7,0.12215820030221083,0.6916095524950803,0.05652151107788086,0.22232459495110657,0.6311316789686596,0.022745631290494624,0.04010476045971315,0.0007969742130299028,0.04674224847519627,0.04096902926403794,False,False
10291,50,32,3,100,0.3,8,0.15365477933947647,0.5868742815894713,0.057711553573608396,0.2375773603790854,0.540615078641419,0.01595444706623489,0.036274539863757616,0.0009666431945137515,0.06306455383479774,0.037861939888532016,False,False
10291,50,32,3,100,0.3,9,0.14803424322374165,0.5062109444619356,0.057306957244873044,0.2674583471361857,0.4676139081359758,0.02800712897150144,0.03442620982658171,0.0009786406945564595,0.0946917383063083,0.03513343823888838,False,False
10291,50,32,3,100,0.3,10,0.16386462410133287,0.44048726036943436,0.05727925300598145,0.2569513644769101,0.40849431771244993,0.03337200076940126,0.02959514566528892,0.0008149864176103931,0.08921532476846918,0.03078022884592129,False,False
10291,50,32,3,100,0.3,11,0.15852394912402507,0.3872301672842464,0.05761928558349609,0.2396127870623256,0.3609709189374738,0.022201286195657303,0.027485554471893586,0.001441068017803784,0.06538455206378888,0.028667031261952945,False,False
10291,50,32,3,100,0.3,12,0.16986105632116547,0.34287750186478133,0.057927274703979494,0.2916718830602542,0.3218953257581487,0.030304440465988305,0.024201216640906794,0.0009270329636495138,0.09161152609910317,0.025271726880662967,False,False
10291,50,32,3,100,0.3,13,0.19701732955722898,0.3075611939485589,0.05625510215759277,0.2954036559112368,0.28930846346897887,0.015777326566913007,0.021629476178134363,0.00032756049104810627,0.11359877864705409,0.02303796401205627,False,False
10291,50,32,3,100,0.3,14,0.18739963572719442,0.2785805938081622,0.05674161911010742,0.25105121730483465,0.2642172765579385,0.037226328246586636,0.017832026222898003,0.0009450745809665637,0.1192991250348091,0.017896208588653862,False,False
10291,50,32,3,100,0.3,15,0.21129428133983197,0.2555413389311839,0.05758028030395508,0.23315298504361465,0.24269313431384681,0.04729165157784755,0.01555872439792712,0.0007364615492861527,0.05742973334846005,0.015672640766212897,False,False
10291,50,32,3,100,0.3,16,0.22109993757194496,0.23657471083555964,0.05715103149414062,0.29789628515246924,0.22457015039973963,0.04348769217965614,0.012830893957831635,0.0013052479653677257,0.09518115242368039,0.01387065040159,False,False
10291,50,32,3,100,0.3,17,0.20977427911090646,0.22199232372669733,0.056509971618652344,0.2706894548614385,0.21205151526504679,0.04639052822201119,0.012605854620992469,0.0011491962486740437,0.11033676827457024,0.015260048879596333,False,False
10291,50,32,3,100,0.3,18,0.26048918688539413,0.207436530201013,0.05770440101623535,0.294495957415525,0.20030248726198688,0.05186924026261196,0.009100240900843435,0.0012174663574568798,0.08293983406592312,0.010454938237425947,False,False
10291,50,32,3,100,0.3,19,0.25048302470706,0.1986014383653559,0.057170867919921875,0.288482258242008,0.19108611450132465,0.028090337777520884,0.010067320081571518,0.0014364577427237726,0.11387547839506491,0.01682462093169099,False,False
10291,50,32,3,100,0.3,20,0.2937741710662363,0.18708501595754257,0.056368017196655275,0.3192935899186218,0.18100758063163855,0.040732797497072884,0.005286870685096692,0.00045517711611546525,0.08593431852062657,0.010834038243314264,False,False
10291,50,32,3,100,0.3,21,0.31041988889127614,0.17883167635238953,0.057416009902954104,0.3743445189824343,0.172498427889859,0.04583360518424304,0.005633687638136313,0.0014795034372191975,0.07421884009276325,0.010107133924836207,False,False
10291,50,32,3,100,0.3,22,0.3165915207843538,0.17305667081464376,0.05723772048950195,0.3487250268791565,0.16551479658166401,0.04050930290791247,0.004819619091790212,0.001058289538395376,0.06082730306068188,0.008916661428655097,False,False
